"id","tag","url","mot","palavra","audio","uuid","created_at","updated_at"
"26","alimentos","https://img.freepik.com/free-vector/milk-tetrabrick_51188-5.jpg?size=338&ext=jpg","lait","leite","","a5a24a80-dcdf-44e3-9a44-ecf18571c79d","2020-12-12 17:26:55","2020-12-12 17:27:48"
"38","adjetivos","https://images-na.ssl-images-amazon.com/images/I/710bPncUkKL._AC_SL1500_.jpg","légère","leve","","aff44d57-9cbf-4007-b82b-c6d06f21dbad","2020-12-12 17:26:55","2020-12-12 17:27:48"
"25","frutas","https://image.freepik.com/free-vector/green-lemon-fresh-isolated_99326-187.jpg","citron","limão","","f52a3c16-85ef-4eb3-a9ee-005125ca2126","2020-12-12 17:26:55","2020-12-12 17:27:48"
"24","objetos","https://cdn.pixabay.com/photo/2017/01/31/00/09/book-2022464_960_720.png","livre","livro","","15e2b032-5178-483f-8204-66428b3cce43","2020-12-12 17:26:55","2020-12-12 17:27:48"
"23","frutas","https://image.freepik.com/free-vector/realistic-set-whole-cut-juicy-red-green-apples-isolated-white_1284-33173.jpg","pomme","maçã","","9a8378b3-b0ba-4993-84ab-06536895da4f","2020-12-12 17:26:55","2020-12-12 17:27:48"
"4","sentimentos","https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-medo.jpg","peur","medo","Il a peur","591e0fae-d2e0-4895-a3c7-cb576404fa68","2020-12-12 17:26:55","2020-12-12 17:27:48"
"40","pessoas","https://cdn2.f-cdn.com/contestentries/1458359/21383270/5c0fca8e25198_thumb900.jpg","fille","menina","","055158ab-477e-4b00-81b2-added11cdd39","2020-12-12 17:26:55","2020-12-12 17:27:48"
"14","pessoas","https://image.freepik.com/free-vector/cute-boy-cartoon_33070-2118.jpg","garçon","menino","le garçon","0d3097e6-24f0-48d6-90e4-c91e17a497df","2020-12-12 17:26:55","2020-12-12 17:27:48"
"15","pessoas","https://image.freepik.com/free-vector/brunette-woman-character_23-2147502479.jpg","femme","mulher","la femme","a1dc1997-405c-4047-be7e-e8a2e9e761b4","2020-12-12 17:26:55","2020-12-12 17:27:48"
"48","alimentos","https://cdn.pixabay.com/photo/2012/04/02/12/49/egg-24404_960_720.png","oeuf","ovo","","af67dd26-3fc9-4c8d-b5db-8e2976cc87b8","2020-12-12 17:26:55","2020-12-12 17:27:48"
"36","animais","https://images-na.ssl-images-amazon.com/images/I/710bPncUkKL._AC_SL1500_.jpg","poisson","peixe","","8633af8e-9c62-4fb5-9d2f-5bd049697265","2020-12-12 17:26:55","2020-12-12 17:27:48"
"9","cores","https://cdn.pixabay.com/photo/2013/07/13/10/48/paint-pot-157813_960_720.png","noir ","preto","noir","188254ed-0a44-482f-b18c-1f0d045d512a","2020-12-12 17:26:55","2020-12-12 17:27:48"
"50","alimentos","https://www.jing.fm/clipimg/detail/4-43044_loaf-bread-png-clip-art-clip-art-loaf.png","baguette","pão","","794bd978-411e-41c5-92ca-eb8bc4b3f06e","2020-12-12 17:26:55","2020-12-12 17:27:48"
"44","alimentos","https://png.pngtree.com/element_our/20190602/ourlarge/pngtree-yellow-cheese-cartoon-illustration-image_1423401.jpg","fromage","queijo","","41d0e83e-4d92-4d95-8f59-f90192bc3304","2020-12-12 17:26:55","2020-12-12 17:27:48"
"2","sentimentos","https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-raiva.jpg","rage","raiva","Il a rage","2053ca92-df2d-4c29-b2b2-97cb8f6f9007","2020-12-12 17:26:55","2020-12-12 17:27:48"
"55","animais","https://image.freepik.com/free-vector/cute-mouse-cartoon-presenting_160606-84.jpg","souris","rato","","2252aef9-6bc0-4fda-aaaf-3b87ede9e3c8","2020-12-12 17:26:55","2020-12-12 17:27:48"
"18","alimentos","https://freesvg.org/img/mealplate.png","repas","refeição","","44751589-63dd-4407-af13-eef5f367488f","2020-12-12 17:26:55","2020-12-12 17:27:48"
"12","vestuário","https://cdn.pixabay.com/photo/2016/03/31/21/19/boy-1296343_960_720.png","vètement","roupa","","3a94313b-2e97-4a18-b7b6-2d882a7d765f","2020-12-12 17:26:55","2020-12-12 17:27:48"
"43","alimentos","https://i.pinimg.com/originals/90/c8/7c/90c87cb3d02f23c2a33e5b8786788e95.jpg","sandwich","sanduiche","Le sandwich","9eac927d-d99e-4525-bbc0-d334a3aedf3f","2020-12-12 17:26:55","2020-12-12 17:27:48"
"33","vestuário","https://image.shutterstock.com/image-vector/yellow-sneakers-vector-isolated-260nw-569243245.jpg","chaussure","sapato","","2647abbc-39fb-4228-826d-08ebcdac2d0d","2020-12-12 17:26:55","2020-12-12 17:27:48"
"31","ações","https://cdn.pixabay.com/photo/2013/07/12/17/00/panda-151674_960_720.png","assesoir","sentar","","5f018c0a-695c-4c17-8c12-af0f443f914b","2020-12-12 17:26:55","2020-12-12 17:27:48"
"5","sentimentos","https://image.freepik.com/free-vector/cute-boy-sleepy_33070-1825.jpg","sommeil","sono","Il a sommeil","0703f85e-8230-47fa-a3b1-ca9110d79edd","2020-12-12 17:26:55","2020-12-12 17:27:48"
"3","sentimentos","https://www.criandocomapego.com/wp-content/uploads/2018/11/fichas-das-emocoes-para-imprimir-tristeza.jpg","triste","triste","Il a triste","c292c2d4-ce8c-4832-8965-9366166b7534","2020-12-12 17:26:55","2020-12-12 17:27:48"
"11","animais","https://image.freepik.com/free-vector/pack-baby-sharks-ocean_23-2148492976.jpg","requin","tubarão","le requin","dd16a685-bbfe-4489-b018-6fc64cd8a042","2020-12-12 17:26:55","2020-12-12 17:27:48"
"46","frutas","https://image.freepik.com/free-vector/grapes-cartoon-icon_90744-153.jpg","raisin","uva","le raisin","079f809c-9d08-4050-82a9-85e8237c2e64","2020-12-12 17:26:55","2020-12-12 17:27:48"
"16","cores","https://cdn.pixabay.com/photo/2013/07/13/10/45/bucket-157731_960_720.png","vert","verde","","53b10de0-5b16-4e10-aabb-c28bda3a7ca5","2020-12-12 17:26:55","2020-12-12 17:27:48"
"35","cores","https://www.clipartkey.com/mpngs/m/144-1449759_drop-clip-art-colours-red-splodge.png","rouge","vermelho","","b08755d3-1b77-4157-9784-b04d111b5eba","2020-12-12 17:26:55","2020-12-12 17:27:48"
"8","vestuário","https://cdn.pixabay.com/photo/2016/09/26/10/26/cute-cartoon-characters-1695612_960_720.png","robe","vestido","la robe","14275a4a-0f04-4b84-9063-33a0f495f724","2020-12-12 17:26:55","2020-12-12 17:27:48"
"51","alimentos","https://image.freepik.com/free-vector/cute-smiling-happy-glass-water-drop-flat-cartoon-character-illustration-isolated-white-background-water-drop-character-concept_92289-1426.jpg","l'eau","água","","daf92611-9a02-4792-a080-fb98eaf0d9e0","2020-12-12 17:26:55","2020-12-12 17:27:48"
